lambda_angstroms A            Z   ion_stage lower_energy_Ev   lower_statweight  forbidden  lower_level               upper_level               upper_statweight  upper_energy_Ev   upper_has_permitted
          7769.1 1.930600E+06   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)5d_2De[3/2]                4.00           32.9618                   1
          7083.3 4.657200E+04   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)6s_2Pe[1/2]                2.00           33.1163                   1
          6985.7 1.213800E+04   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)6s_2Pe[3/2]                4.00           33.1408                   1
          5622.0 2.870500E+05   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)6d_2Pe                     6.00           33.5712                   1
          5540.6 6.735900E+05   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)6d_2De                    10.00           33.6035                   1
          5302.3 1.100800E+04   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)7s_2Pe                     6.00           33.7041                   1
          4735.3 1.870100E+05   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)7d_2Pe                     6.00           33.9840                   1
          4699.3 1.529100E+06   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)7d_2De                    10.00           34.0040                   1
          4584.3 6.996100E+03   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)8s_2Pe                     6.00           34.0702                   1
          4558.9 2.117000E+07   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(1De)4d_2De[3/2]                4.00           34.0852                   1
          4414.4 8.503700E+04   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(1De)4d_2Pe                     6.00           34.1743                   1
          4347.2 6.601800E+07   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(1Se)3d_2De[3/2]                4.00           34.2176                   1
          4344.9 2.406100E+06   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(1De)4d_2Se[1/2]                2.00           34.2192                   1
          4289.5 7.738400E+04   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)8d_2Pe                     6.00           34.2560                   1
          4288.0 1.837800E+07   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)8d_2De                    10.00           34.2570                   1
          4209.7 3.889300E+03   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)9s_2Pe                     6.00           34.3108                   1
          4036.4 6.862100E+04   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)9d_2Pe                     6.00           34.4372                   1
          4022.2 1.183600E+05   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)9d_2De                    10.00           34.4481                   1
          3984.5 2.834300E+03   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)10s_2Pe                    6.00           34.4772                   1
          3973.9 4.763100E+06   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(1De)5s_2De[3/2]                4.00           34.4855                   1
          3871.7 5.099500E+04   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(3Pe)10d_2Pe                    6.00           34.5678                   1
          3419.8 6.785900E+07   8         2             31.37            2.0000          0 2s2_2p2(1Se)3p_2Po[1/2]   2s2_2p2(1Se)4s_2Se[1/2]                2.00           34.9908                   1
       1874000.0 4.550300E-06   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)3d_2De[3/2]                4.00           31.3738                   1
       1804000.0 3.062100E-05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)3d_2De[5/2]                6.00           31.3741                   1
        125500.0 1.760200E+02   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)3d_2Pe[1/2]                2.00           31.4659                   1
        125100.0 4.440700E+02   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)3d_2Pe[3/2]                4.00           31.4662                   1
         45855.1 3.182600E+04   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)4d_2Pe[3/2]                4.00           31.6375                   1
         43684.1 1.472500E+04   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)4d_2Pe[1/2]                2.00           31.6509                   1
         38021.0 1.515800E+04   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)3d_2Se[1/2]                2.00           31.6932                   1
         35084.1 2.203600E+04   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)4d_2De[3/2]                4.00           31.7205                   1
         34423.5 1.399700E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)4d_2De[5/2]                6.00           31.7273                   1
         18452.4 2.504600E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)5s_2Pe[1/2]                2.00           32.0389                   1
         17811.0 6.962600E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)5s_2Pe[3/2]                4.00           32.0631                   1
         15883.3 2.020000E+04   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)4s_2De[5/2]                6.00           32.1476                   1
         15882.1 3.367400E+03   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)4s_2De[3/2]                4.00           32.1476                   1
          8168.8 1.040000E+06   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)5d_2Pe                     6.00           32.8846                   1
          7772.8 2.313400E+06   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)5d_2De[5/2]                6.00           32.9618                   1
          7772.8 3.855600E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)5d_2De[3/2]                4.00           32.9618                   1
          7086.4 2.325500E+04   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)6s_2Pe[1/2]                2.00           33.1163                   1
          6988.7 6.060900E+04   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)6s_2Pe[3/2]                4.00           33.1408                   1
          5623.9 5.737000E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)6d_2Pe                     6.00           33.5712                   1
          5542.5 1.346300E+06   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)6d_2De                    10.00           33.6035                   1
          5304.0 2.200200E+04   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)7s_2Pe                     6.00           33.7041                   1
          4736.7 3.738100E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)7d_2Pe                     6.00           33.9840                   1
          4700.7 3.056500E+06   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)7d_2De                    10.00           34.0040                   1
          4585.6 1.398400E+04   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)8s_2Pe                     6.00           34.0702                   1
          4560.2 4.230300E+06   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)4d_2De[3/2]                4.00           34.0852                   1
          4557.7 2.542400E+07   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)4d_2De[5/2]                6.00           34.0867                   1
          4415.6 1.699800E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)4d_2Pe                     6.00           34.1743                   1
          4348.4 1.319300E+07   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1Se)3d_2De[3/2]                4.00           34.2176                   1
          4346.0 4.808400E+06   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)4d_2Se[1/2]                2.00           34.2192                   1
          4331.2 8.010600E+07   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1Se)3d_2De[5/2]                6.00           34.2290                   1
          4290.6 1.546900E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)8d_2Pe                     6.00           34.2560                   1
          4289.1 3.673600E+07   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)8d_2De                    10.00           34.2570                   1
          4210.8 7.774600E+03   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)9s_2Pe                     6.00           34.3108                   1
          4037.4 1.371700E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)9d_2Pe                     6.00           34.4372                   1
          4023.2 2.366100E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)9d_2De                    10.00           34.4481                   1
          3985.5 5.665900E+03   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)10s_2Pe                    6.00           34.4772                   1
          3974.9 9.519000E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)5s_2De[3/2]                4.00           34.4855                   1
          3974.8 5.711500E+06   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1De)5s_2De[5/2]                6.00           34.4855                   1
          3872.7 1.019400E+05   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(3Pe)10d_2Pe                    6.00           34.5678                   1
          3420.6 1.356300E+08   8         2             31.37            4.0000          0 2s2_2p2(1Se)3p_2Po[3/2]   2s2_2p2(1Se)4s_2Se[1/2]                2.00           34.9908                   1
         37822.6 1.055900E+01   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)4f_2Do[5/2]                6.00           31.7015                   1
         36143.6 1.633400E+02   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)4f_2Do[3/2]                4.00           31.7167                   1
         32468.7 1.707600E+03   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)4f_2Fo[5/2]                6.00           31.7555                   1
         11554.8 1.012500E+05   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)5p_2Do[3/2]                4.00           32.4465                   1
         11330.7 7.953800E+03   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)5p_2Do[5/2]                6.00           32.4677                   1
         10819.5 5.807400E+05   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)5p_2Po[1/2]                2.00           32.5194                   1
         10725.2 5.961900E+04   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)5p_2Po[3/2]                4.00           32.5295                   1
          7940.4 2.096400E+04   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)5f_2Fo[5/2]                6.00           32.9348                   1
          7859.8 3.475600E+04   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)5f_4Do[3/2]                4.00           32.9508                   1
          7743.4 9.643300E+03   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)5f_2Do[3/2]                4.00           32.9745                   1
          7739.7 1.170300E+04   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)5f_4Fo[5/2]                6.00           32.9753                   1
          7722.5 7.248300E+05   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)5f_2Do[5/2]                6.00           32.9788                   1
          7387.3 3.644500E+06   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(1De)4p_2Fo[5/2]                6.00           33.0517                   1
          7363.1 4.192800E+06   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(1De)4p_2Do[3/2]                4.00           33.0572                   1
          7354.2 3.116900E+05   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(1De)4p_2Do[5/2]                6.00           33.0592                   1
          6936.0 1.681500E+07   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(1De)4p_2Po[1/2]                2.00           33.1608                   1
          6921.4 1.692200E+06   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(1De)4p_2Po[3/2]                4.00           33.1646                   1
          6205.7 2.555100E+05   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)6p_2Do                    10.00           33.3712                   1
          6083.2 1.358400E+06   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)6p_2Po                     6.00           33.4114                   1
          5574.5 1.860200E+03   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)6f_2Do                    10.00           33.5973                   1
          5548.8 1.038800E+04   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)6f_2Fo                    14.00           33.6076                   1
          5010.0 1.230900E+04   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)7p_2Do                    10.00           33.8478                   1
          4971.0 6.195700E+04   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)7p_2Po                     6.00           33.8672                   1
          4715.6 1.851100E+03   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)7f_2Do                    10.00           34.0023                   1
          4704.3 6.660300E+03   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)7f_2Fo                    14.00           34.0086                   1
          4448.2 7.618500E+03   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)8p_2Do                    10.00           34.1603                   1
          4428.8 6.553600E+02   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)8p_2Po                     6.00           34.1725                   1
          4378.0 1.490000E+08   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(1De)4f_2Fo[5/2]                6.00           34.2050                   1
          4342.8 8.836800E+06   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(1De)4f_2Do[3/2]                4.00           34.2279                   1
          4342.8 6.413200E+06   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(1De)4f_2Do[5/2]                6.00           34.2279                   1
          4306.0 1.424600E+06   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(1De)4f_2Po[3/2]                4.00           34.2523                   1
          4306.0 1.551000E+07   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(1De)4f_2Po[1/2]                2.00           34.2523                   1
          4287.1 1.633800E+01   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)8f_2Do                    10.00           34.2650                   1
          4280.9 3.658800E+03   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)8f_2Fo                    14.00           34.2692                   1
          4135.5 3.636700E+02   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)9p_2Do                    10.00           34.3710                   1
          4124.0 6.598300E+02   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)9p_2Po                     6.00           34.3794                   1
          4035.9 2.572700E+02   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)9f_2Do                    10.00           34.4450                   1
          4032.2 2.743700E+03   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)9f_2Fo                    14.00           34.4478                   1
          3940.6 8.146200E+02   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)10p_2Do                   10.00           34.5193                   1
          3933.1 1.199800E+03   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)10p_2Po                    6.00           34.5252                   1
          3873.7 2.503300E+02   8         2             31.37            4.0000          0 2s2_2p2(1De)3d_2De[3/2]   2s2_2p2(3Pe)10f_2Do                   10.00           34.5735                   1
         37852.4 1.474700E+02   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)4f_2Do[5/2]                6.00           31.7015                   1
         36170.8 1.810800E+01   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)4f_2Do[3/2]                4.00           31.7167                   1
         32897.4 1.151900E+01   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)4f_4Fo[5/2]                6.00           31.7508                   1
         32517.7 1.979600E+01   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)4f_4Fo[7/2]                8.00           31.7552                   1
         32490.7 1.217300E+02   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)4f_2Fo[5/2]                6.00           31.7555                   1
         32308.0 2.148800E+01   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)4f_2Fo[7/2]                8.00           31.7577                   1
         11557.6 1.124100E+04   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5p_2Do[3/2]                4.00           32.4465                   1
         11333.3 1.112700E+05   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5p_2Do[5/2]                6.00           32.4677                   1
         10727.6 5.362200E+05   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5p_2Po[3/2]                4.00           32.5295                   1
          7941.7 1.496600E+03   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5f_2Fo[5/2]                6.00           32.9348                   1
          7940.8 2.350100E+05   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5f_4Do[7/2]                8.00           32.9350                   1
          7862.8 4.673600E+04   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5f_2Go[7/2]                8.00           32.9505                   1
          7861.0 7.778300E+03   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5f_4Do[3/2]                4.00           32.9508                   1
          7744.7 1.071000E+03   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5f_2Do[3/2]                4.00           32.9745                   1
          7741.0 6.282900E+05   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5f_4Fo[5/2]                6.00           32.9753                   1
          7723.7 1.660000E+04   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5f_2Do[5/2]                6.00           32.9788                   1
          7719.3 7.391700E+04   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5f_4Fo[9/2]               10.00           32.9798                   1
          7716.3 2.447500E+04   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)5f_2Fo[7/2]                8.00           32.9804                   1
          7388.5 2.602100E+05   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(1De)4p_2Fo[5/2]                6.00           33.0517                   1
          7383.8 3.910400E+06   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(1De)4p_2Fo[7/2]                8.00           33.0527                   1
          7364.2 4.656500E+05   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(1De)4p_2Do[3/2]                4.00           33.0572                   1
          7355.4 4.361700E+06   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(1De)4p_2Do[5/2]                6.00           33.0592                   1
          6922.4 1.522300E+07   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(1De)4p_2Po[3/2]                4.00           33.1646                   1
          6206.5 3.831700E+05   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)6p_2Do                    10.00           33.3712                   1
          6084.0 2.037200E+06   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)6p_2Po                     6.00           33.4114                   1
          5575.2 2.789700E+03   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)6f_2Do                    10.00           33.5973                   1
          5549.4 1.557900E+04   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)6f_2Fo                    14.00           33.6076                   1
          5010.6 1.845900E+04   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)7p_2Do                    10.00           33.8478                   1
          4971.5 9.291700E+04   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)7p_2Po                     6.00           33.8672                   1
          4716.1 2.776200E+03   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)7f_2Do                    10.00           34.0023                   1
          4704.7 9.988500E+03   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)7f_2Fo                    14.00           34.0086                   1
          4448.6 1.142600E+04   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)8p_2Do                    10.00           34.1603                   1
          4429.2 9.828700E+02   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)8p_2Po                     6.00           34.1725                   1
          4386.0 1.095900E+03   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(1De)4f_2Go[9/2]               10.00           34.2001                   1
          4378.4 1.656600E+08   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(1De)4f_2Fo[7/2]                8.00           34.2050                   1
          4378.4 2.104300E+08   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(1De)4f_2Fo[5/2]                6.00           34.2050                   1
          4343.2 1.306800E+08   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(1De)4f_2Do[3/2]                4.00           34.2279                   1
          4343.2 8.975900E+07   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(1De)4f_2Do[5/2]                6.00           34.2279                   1
          4306.4 1.391900E+07   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(1De)4f_2Po[3/2]                4.00           34.2523                   1
          4287.5 2.450300E+01   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)8f_2Do                    10.00           34.2650                   1
          4281.2 5.487200E+03   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)8f_2Fo                    14.00           34.2692                   1
          4135.8 5.454200E+02   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)9p_2Do                    10.00           34.3710                   1
          4124.3 9.895800E+02   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)9p_2Po                     6.00           34.3794                   1
          4036.2 3.858400E+02   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)9f_2Do                    10.00           34.4450                   1
          4032.5 4.114900E+03   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)9f_2Fo                    14.00           34.4478                   1
          3940.9 1.221700E+03   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)10p_2Do                   10.00           34.5193                   1
          3933.4 1.799300E+03   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)10p_2Po                    6.00           34.5252                   1
          3874.1 3.754300E+02   8         2             31.37            6.0000          0 2s2_2p2(1De)3d_2De[5/2]   2s2_2p2(3Pe)10f_2Do                   10.00           34.5735                   1
         49424.5 4.017500E+01   8         2             31.47            2.0000          0 2s2_2p2(1De)3d_2Pe[1/2]   2s2_2p2(3Pe)4f_2Do[3/2]                4.00           31.7167                   1
         47105.2 4.422900E+01   8         2             31.47            2.0000          0 2s2_2p2(1De)3d_2Pe[1/2]   2s2_2p2(3Pe)4f_4Do[3/2]                4.00           31.7291                   1
         14496.6 5.750700E+05   8         2             31.47            2.0000          0 2s2_2p2(1De)3d_2Pe[1/2]   2s2_2p2(3Pe)5p_2So[1/2]                2.00           32.3210                   1
         12640.7 9.218500E+04   8         2             31.47            2.0000          0 2s2_2p2(1De)3d_2Pe[1/2]   2s2_2p2(3Pe)5p_2Do[3/2]                4.00           32.4465                   1
         11765.9 1.373800E+06   8         2             31.47            2.0000          0 2s2_2p2(1De)3d_2Pe[1/2]   2s2_2p2(3Pe)5p_2Po[1/2]                2.00           32.5194                   1
         11654.5 3.533900E+05   8         2             31.47            2.0000          0 2s2_2p2(1De)3d_2Pe[1/2]   2s2_2p2(3Pe)5p_2Po[3/2]                4.00           32.5295                   1
          8347.5 3.969400E+04   8         2             31.47            2.0000          0 2s2_2p2(1De)3d_2Pe[1/2]   2s2_2p2(3Pe)5f_4Do[3/2]                4.00           32.9508                   1
          8216.4 4.355300E+06   8         2             31.47            2.0000          0 2s2_2p2(1De)3d_2Pe[1/2]   2s2_2p2(3Pe)5f_2Do[3/2]                4.00           32.9745                   1
          7789.5 1.500600E+06   8         2             31.47            2.0000          0 2s2_2p2(1De)3d_2Pe[1/2]   2s2_2p2(1De)4p_2Do[3/2]                4.00           33.0572                   1
